SYMBOL,SECTOR
RELIANCE,OIL & GAS
ONGC,OIL & GAS
BPCL,OIL & GAS
IOC,OIL & GAS
HINDPETRO,OIL & GAS
OIL,OIL & GAS
GAIL,OIL & GAS

HDFCBANK,BANK
ICICIBANK,BANK
SBIN,BANK
AXISBANK,BANK
KOTAKBANK,BANK
INDUSINDBK,BANK
BANKBARODA,PSU BANK
PNB,PSU BANK
IDFCFIRSTB,BANK
FEDERALBNK,BANK
AUBANK,BANK
YESBANK,BANK

INFY,IT
TCS,IT
HCLTECH,IT
WIPRO,IT
TECHM,IT
LTIM,IT
PERSISTENT,IT
MPHASIS,IT
COFORGE,IT
OFSS,IT

SUNPHARMA,PHARMA
CIPLA,PHARMA
DRREDDY,PHARMA
DIVISLAB,PHARMA
LUPIN,PHARMA
ZYDUSLIFE,PHARMA
TORNTPHARM,PHARMA
AUROPHARMA,PHARMA

APOLLOHOSP,HEALTHCARE
MAXHEALTH,HEALTHCARE
FORTIS,HEALTHCARE

HINDUNILVR,FMCG
ITC,FMCG
NESTLEIND,FMCG
BRITANNIA,FMCG
DABUR,FMCG
GODREJCP,FMCG
MARICO,FMCG
COLPAL,FMCG
TATACONSUM,FMCG
VBL,FMCG

TATASTEEL,METAL
JSWSTEEL,METAL
HINDALCO,METAL
JINDALSTEL,METAL
NMDC,METAL
SAIL,METAL
VEDL,METAL

DLF,REALTY
LODHA,REALTY
GODREJPROP,REALTY
OBEROIRLTY,REALTY
PRESTIGE,REALTY

ULTRACEMCO,CEMENT
GRASIM,CEMENT
SHREECEM,CEMENT
AMBUJACEM,CEMENT
ACC,CEMENT

MARUTI,AUTO
TATAMOTORS,AUTO
M&M,AUTO
BAJAJ-AUTO,AUTO
EICHERMOT,AUTO
HEROMOTOCO,AUTO
TVSMOTOR,AUTO
ASHOKLEY,AUTO

LT,CAPITAL GOODS
SIEMENS,CAPITAL GOODS
ABB,CAPITAL GOODS
BHEL,CAPITAL GOODS
BEL,CAPITAL GOODS
HAL,CAPITAL GOODS
RVNL,CAPITAL GOODS

POWERGRID,POWER
NTPC,POWER
TATAPOWER,POWER

BAJFINANCE,FINANCIAL SERVICES
BAJAJFINSV,FINANCIAL SERVICES
JIOFIN,FINANCIAL SERVICES
CHOLAFIN,FINANCIAL SERVICES
SHRIRAMFIN,FINANCIAL SERVICES
RECLTD,FINANCIAL SERVICES
PFC,FINANCIAL SERVICES
IRFC,FINANCIAL SERVICES

ASIANPAINT,CHEMICALS
PIDILITIND,CHEMICALS
SRF,CHEMICALS
DEEPAKNTR,CHEMICALS
BERGEPAINT,CHEMICALS

TRENT,CONSUMER DURABLES
DMART,CONSUMER DURABLES

ADANIENT,SERVICES
ADANIPORTS,SERVICES
INDIGO,SERVICES
IRCTC,SERVICES
